Protein_accession	uni_ipro_access	uni_ipro_desc	uni_GO_annot
CopciAB_363728.T0	IPR001019__IPR011025__IPR027417	Guanine nucleotide binding protein (G-protein), alpha subunit__G protein alpha subunit, helical insertion__P-loop containing nucleoside triphosphate hydrolase	GO:0003924|GO:0007186|GO:0019001|GO:0031683__GO:0007165__-
CopciAB_363733.T0	IPR027268__IPR001842	Peptidase M4/M1, CTD superfamily__Peptidase M36, fungalysin	-__GO:0004222|GO:0005615|GO:0008270
CopciAB_363738.T0	IPR023606__IPR003673	CoA-transferase family III domain 1 superfamily__CoA-transferase family III	-__GO:0003824
CopciAB_363743.T0	IPR005804__IPR012171	Fatty acid desaturase domain__Fatty acid desaturase	GO:0006629__GO:0016491
CopciAB_363763.T0	IPR018828	Required for respiratory growth protein 7, mitochondrial	-
CopciAB_363811.T0	IPR023128__IPR039733__IPR037132	Protein N-terminal glutamine amidohydrolase, alpha beta roll__Protein N-terminal glutamine amidohydrolase__Protein N-terminal glutamine amidohydrolase, alpha beta roll superfamily	-__GO:0008418|GO:0070773__GO:0016811
CopciAB_363821.T0	IPR001155__IPR013785	NADH:flavin oxidoreductase/NADH oxidase, N-terminal__Aldolase-type TIM barrel	GO:0010181|GO:0016491__-
CopciAB_363846.T0	IPR020904__IPR036291__IPR002347	Short-chain dehydrogenase/reductase, conserved site__NAD(P)-binding domain superfamily__Short-chain dehydrogenase/reductase SDR	GO:0016491__-__-
CopciAB_363847.T0	IPR046938__IPR003021	DNA clamp superfamily__Rad1/Rec1/Rad17	-__GO:0000077
CopciAB_363857.T0	IPR003877__IPR037353__IPR043136__IPR013320__IPR001870	SPRY domain__Histone methyltransferase complex subunit ASH2__B30.2/SPRY domain superfamily__Concanavalin A-like lectin/glucanase domain superfamily__B30.2/SPRY domain	GO:0005515__GO:0048188|GO:0051568__-__-__-
CopciAB_363884.T0	IPR000731__IPR015943__IPR030225__IPR036322	Sterol-sensing domain__WD40/YVTN repeat-like-containing domain superfamily__Sterol regulatory element-binding protein cleavage-activating protein__WD40-repeat-containing domain superfamily	-__GO:0005515__GO:0000139|GO:0005789|GO:0032933|GO:0032934__GO:0005515
CopciAB_363888.T0	IPR005874__IPR036877__IPR001950	Eukaryotic translation initiation factor SUI1__SUI1 domain superfamily__SUI1 domain	GO:0003743__GO:0003743|GO:0006413__GO:0003743|GO:0006413
CopciAB_363908.T0	IPR000210__IPR011333	BTB/POZ domain__SKP1/BTB/POZ domain superfamily	GO:0005515__-
CopciAB_363916.T0	IPR011150__IPR029058__IPR000675	Cutinase, monofunctional__Alpha/Beta hydrolase fold__Cutinase/acetylxylan esterase	GO:0005576|GO:0050525__-__GO:0016787
CopciAB_363927.T0	IPR037171__IPR012791__IPR014388__IPR004165	NagB/RpiA transferase-like__3-oxoacid CoA-transferase, subunit B__3-oxoacid CoA-transferase__Coenzyme A transferase family I	-__GO:0008410__GO:0008410|GO:0046952__GO:0008410
CopciAB_363967.T0	IPR002645__IPR001902__IPR036513__IPR011547	STAS domain__SLC26A/SulP transporter__STAS domain superfamily__SLC26A/SulP transporter domain	-__GO:0016020|GO:0055085__-__GO:0016020
CopciAB_364023.T0	IPR039551__IPR042231__IPR023213__IPR000542	Choline/carnitine acyltransferase domain__Choline/Carnitine o-acyltransferase, domain 2__Chloramphenicol acetyltransferase-like domain superfamily__Acyltransferase ChoActase/COT/CPT	-__-__-__GO:0016746
CopciAB_364025.T0	IPR037673__IPR036019	Large-conductance mechanosensitive channel/anditomin synthesis protein L__Large-conductance mechanosensitive channel MscL	-__-
CopciAB_364026.T0	IPR005002__IPR023214	Phosphomannomutase__HAD superfamily	GO:0004615|GO:0009298__-
CopciAB_364046.T0	IPR011990__IPR016024__IPR000547__IPR016341__IPR015348__IPR016025__IPR022365	Tetratricopeptide-like helical domain superfamily__Armadillo-type fold__Clathrin, heavy chain/VPS, 7-fold repeat__Clathrin, heavy chain__Clathrin, heavy chain, linker, core motif__Clathrin heavy chain, N-terminal__Clathrin, heavy chain, propeller repeat	GO:0005515__-__GO:0006886|GO:0016192__GO:0016192|GO:0032051|GO:0071439__GO:0005198|GO:0006886|GO:0016192|GO:0030130|GO:0030132__GO:0005198|GO:0006886|GO:0016192|GO:0030130|GO:0030132__-
CopciAB_364053.T0	IPR001214__IPR046341	SET domain__SET domain superfamily	GO:0005515__-
CopciAB_364080.T0	IPR005479__IPR005930__IPR001882__IPR000891__IPR016185__IPR011764__IPR011761__IPR005482__IPR000089__IPR011053__IPR013785__IPR003379__IPR005481__IPR011054	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain__Pyruvate carboxylase__Biotin-binding site__Pyruvate carboxyltransferase__Pre-ATP-grasp domain superfamily__Biotin carboxylation domain__ATP-grasp fold__Biotin carboxylase, C-terminal__Biotin/lipoyl attachment__Single hybrid motif__Aldolase-type TIM barrel__Carboxylase, conserved domain__Biotin carboxylase-like, N-terminal domain__Rudiment single hybrid motif	GO:0005524__GO:0004736|GO:0005524|GO:0006090|GO:0006094__-__GO:0003824__-__-__GO:0005524|GO:0046872__-__-__-__-__-__-__-
CopciAB_364090.T0	IPR022816	Condensin complex subunit 2/barren	GO:0000796|GO:0007076
CopciAB_364096.T0	IPR019410__IPR029063	Lysine methyltransferase__S-adenosyl-L-methionine-dependent methyltransferase superfamily	-__-
CopciAB_364097.T0	IPR000569__IPR045322__IPR035983__IPR016024__IPR011989	HECT domain__E3 ubiquitin-protein ligase HECTD1/TRIP12-like__HECT, E3 ligase catalytic domain__Armadillo-type fold__Armadillo-like helical	GO:0004842__GO:0006511|GO:0061630__GO:0004842__-__-
CopciAB_364122.T0	IPR001810__IPR036047__IPR032675	F-box domain__F-box-like domain superfamily__Leucine-rich repeat domain superfamily	GO:0005515__GO:0005515__-
CopciAB_364130.T0	IPR002523__IPR045863	Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB__CorA, transmembrane region	GO:0016020|GO:0030001|GO:0046873|GO:0055085__-
CopciAB_364133.T0	IPR031318__IPR008493	OPI10 family__Hikeshi-like domain	-__-
CopciAB_364154.T0	IPR007577__IPR029044	Glycosyltransferase, DXD sugar-binding motif__Nucleotide-diphospho-sugar transferases	-__-
CopciAB_364173.T0	IPR008271__IPR018391__IPR045133__IPR000719__IPR010513__IPR015943__IPR011009__IPR038357__IPR011047	Serine/threonine-protein kinase, active site__Pyrrolo-quinoline quinone beta-propeller repeat__Serine/threonine-protein kinase/endoribonuclease IRE1/2-like__Protein kinase domain__KEN domain__WD40/YVTN repeat-like-containing domain superfamily__Protein kinase-like domain superfamily__KEN domain superfamily__Quinoprotein alcohol dehydrogenase-like superfamily	GO:0004672|GO:0006468__-__GO:0004521|GO:0004674|GO:0030968__GO:0004672|GO:0005524|GO:0006468__GO:0004540|GO:0006397__GO:0005515__-__-__-
CopciAB_364183.T0	IPR001453__IPR036425	MoaB/Mog domain__MoaB/Mog-like domain superfamily	-__-
CopciAB_364198.T0	IPR036638__IPR011598	Helix-loop-helix DNA-binding domain superfamily__Myc-type, basic helix-loop-helix (bHLH) domain	GO:0046983__GO:0046983
CopciAB_364293.T0	IPR001810	F-box domain	GO:0005515
CopciAB_364305.T0	IPR036396__IPR002401__IPR001128__IPR017972	Cytochrome P450 superfamily__Cytochrome P450, E-class, group I__Cytochrome P450__Cytochrome P450, conserved site	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0005506|GO:0016705
CopciAB_364310.T0	IPR009653	Protein kish	-
CopciAB_364348.T0	IPR029058__IPR000254__IPR035971	Alpha/Beta hydrolase fold__Cellulose-binding domain, fungal__Cellulose-binding domain superfamily	-__GO:0005576|GO:0005975|GO:0030248__GO:0005576|GO:0005975|GO:0030248
CopciAB_364374.T0	IPR022057	Chitin synthase export chaperone	-
CopciAB_364376.T0	IPR036317__IPR019559__IPR016158__IPR036390__IPR001373__IPR045093__IPR036388__IPR016159	Cullin homology domain superfamily__Cullin protein, neddylation domain__Cullin homology domain__Winged helix DNA-binding domain superfamily__Cullin, N-terminal__Cullin__Winged helix-like DNA-binding domain superfamily__Cullin repeat-like-containing domain superfamily	-__-__-__-__GO:0006511|GO:0031625__-__-__-
CopciAB_364394.T0	IPR036425__IPR001453__IPR038987__IPR005110__IPR008284__IPR036688__IPR005111__IPR036135	MoaB/Mog-like domain superfamily__MoaB/Mog domain__Molybdopterin biosynthesis protein MoeA-like__MoeA, N-terminal and linker domain__Molybdenum cofactor biosynthesis, conserved site__MoeA, C-terminal, domain IV superfamily__MoeA, C-terminal, domain IV__MoeA, N-terminal and linker domain superfamily	-__-__-__GO:0032324__GO:0006777__GO:0032324__GO:0032324__GO:0032324
CopciAB_364413.T0	IPR045058__IPR027417__IPR006073	GTPase GIMA/IAN/Toc__P-loop containing nucleoside triphosphate hydrolase__GTP binding domain	-__-__GO:0005525
CopciAB_364454.T0	IPR027417__IPR006073	P-loop containing nucleoside triphosphate hydrolase__GTP binding domain	-__GO:0005525
CopciAB_364504.T0	IPR017850__IPR002591__IPR007070__IPR037671__IPR017852	Alkaline-phosphatase-like, core domain superfamily__Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase__GPI ethanolamine phosphate transferase 1__GPI ethanolamine phosphate transferase 1, N-terminal__GPI ethanolamine phosphate transferase 1, C-terminal	-__-__GO:0005789|GO:0006506|GO:0051377__GO:0006506|GO:0016020|GO:0051377__GO:0005789|GO:0006506|GO:0016740
CopciAB_364517.T0	IPR002401__IPR036396__IPR001128__IPR017972	Cytochrome P450, E-class, group I__Cytochrome P450 superfamily__Cytochrome P450__Cytochrome P450, conserved site	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0005506|GO:0016705
CopciAB_364565.T0	IPR001680__IPR015943__IPR036322	WD40 repeat__WD40/YVTN repeat-like-containing domain superfamily__WD40-repeat-containing domain superfamily	GO:0005515__GO:0005515__GO:0005515
CopciAB_364572.T0	IPR023801__IPR023696__IPR000286__IPR037138__IPR003084	Histone deacetylase domain__Ureohydrolase domain superfamily__Histone deacetylase family__Histone deacetylase domain superfamily__Histone deacetylase	-__-__-__-__GO:0004407|GO:0016575
CopciAB_364589.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_364607.T0	IPR002893__IPR024119__IPR027974	Zinc finger, MYND-type__Transcription factor DEAF-1__Domain of unknown function DUF4470	-__-__-
CopciAB_364613.T0	IPR044738__IPR024671__IPR036259	Autophagy-related protein 22__Autophagy-related protein 22-like__MFS transporter superfamily	GO:0032974__-__-
CopciAB_364631.T0	IPR001995	Peptidase A2A, retrovirus, catalytic	GO:0004190|GO:0006508
CopciAB_364638.T0	IPR023213	Chloramphenicol acetyltransferase-like domain superfamily	-
CopciAB_364664.T0	IPR004342__IPR004331	EXS, C-terminal__SPX domain	GO:0016020__-
CopciAB_364667.T0	IPR003734	Domain of unknown function DUF155	-
CopciAB_364672.T0	IPR005913__IPR029903__IPR036291	dTDP-4-dehydrorhamnose reductase family__RmlD-like substrate binding domain__NAD(P)-binding domain superfamily	-__-__-
CopciAB_364775.T0	IPR002867__IPR044066__IPR017907__IPR031127__IPR013083	IBR domain__TRIAD supradomain__Zinc finger, RING-type, conserved site__E3 ubiquitin ligase RBR family__Zinc finger, RING/FYVE/PHD-type	GO:0008270__-__-__GO:0004842|GO:0016567__-
CopciAB_364804.T0	IPR035298__IPR036390__IPR000717	26S Proteasome non-ATPase regulatory subunit 13__Winged helix DNA-binding domain superfamily__Proteasome component (PCI) domain	-__-__-
CopciAB_364806.T0	IPR026895__IPR011047__IPR011678__IPR018391__IPR002372__IPR015943	ER membrane protein complex subunit 1__Quinoprotein alcohol dehydrogenase-like superfamily__ER membrane protein complex subunit 1, C-terminal__Pyrrolo-quinoline quinone beta-propeller repeat__Pyrrolo-quinoline quinone repeat__WD40/YVTN repeat-like-containing domain superfamily	GO:0072546__-__-__-__-__GO:0005515
CopciAB_364816.T0	IPR044066__IPR002867__IPR031127	TRIAD supradomain__IBR domain__E3 ubiquitin ligase RBR family	-__GO:0008270__GO:0004842|GO:0016567
CopciAB_364818.T0	IPR019166__IPR033181	MICOS complex subunit MIC26/MIC27__MICOS subunit Mic26, fungi	GO:0042407|GO:0061617__GO:0042407|GO:0061617
CopciAB_364842.T0	IPR045338	Domain of unknown function DUF6535	-
CopciAB_364848.T0	IPR011009__IPR040976	Protein kinase-like domain superfamily__Fungal-type protein kinase	-__-
CopciAB_364856.T0	IPR040976	Fungal-type protein kinase	-
CopciAB_364858.T0	IPR036259__IPR011701__IPR020846	MFS transporter superfamily__Major facilitator superfamily__Major facilitator superfamily domain	-__GO:0022857|GO:0055085__GO:0022857
CopciAB_364865.T0	IPR029058__IPR013094	Alpha/Beta hydrolase fold__Alpha/beta hydrolase fold-3	-__GO:0016787
CopciAB_364886.T0	IPR020846__IPR036259__IPR011701	Major facilitator superfamily domain__MFS transporter superfamily__Major facilitator superfamily	GO:0022857__-__GO:0022857|GO:0055085
CopciAB_364901.T0	IPR011990__IPR002893__IPR044508	Tetratricopeptide-like helical domain superfamily__Zinc finger, MYND-type__F-box protein At5g50450/At1g67340-like	GO:0005515__-__-
CopciAB_364913.T0	IPR010490	Conserved oligomeric Golgi complex subunit 6	GO:0006891|GO:0017119
CopciAB_364950.T0	IPR013087__IPR017907__IPR001841__IPR036236__IPR013083	Zinc finger C2H2-type__Zinc finger, RING-type, conserved site__Zinc finger, RING-type__Zinc finger C2H2 superfamily__Zinc finger, RING/FYVE/PHD-type	-__-__-__-__-
CopciAB_364978.T0	IPR007881	UNC-50	-
CopciAB_364989.T0	IPR017441__IPR000719__IPR008271__IPR011009	Protein kinase, ATP binding site__Protein kinase domain__Serine/threonine-protein kinase, active site__Protein kinase-like domain superfamily	GO:0005524__GO:0004672|GO:0005524|GO:0006468__GO:0004672|GO:0006468__-
CopciAB_364990.T0	IPR027417__IPR001019__IPR011025	P-loop containing nucleoside triphosphate hydrolase__Guanine nucleotide binding protein (G-protein), alpha subunit__G protein alpha subunit, helical insertion	-__GO:0003924|GO:0007186|GO:0019001|GO:0031683__GO:0007165
CopciAB_365024.T0	IPR036291__IPR016040	NAD(P)-binding domain superfamily__NAD(P)-binding domain	-__-
CopciAB_365034.T0	IPR036047__IPR001810	F-box-like domain superfamily__F-box domain	GO:0005515__GO:0005515
CopciAB_365047.T0	IPR009057	Homeobox-like domain superfamily	-
CopciAB_365060.T0	IPR024079__IPR008754	Metallopeptidase, catalytic domain superfamily__Peptidase M43, pregnancy-associated plasma-A	GO:0008237__-
CopciAB_365130.T0	IPR018820__IPR018823	Brefeldin A sensitivity protein-related, domain of unknown function DUF2421__Putative ER transporter, 6TM, N-terminal	-__-
CopciAB_365182.T0	IPR004648__IPR004813	Tetrapeptide transporter, OPT1/isp4__Oligopeptide transporter, OPT superfamily	GO:0055085__GO:0035673
CopciAB_365191.T0	IPR013970__IPR012340	Replication factor A protein 3__Nucleic acid-binding, OB-fold	GO:0003677|GO:0005634|GO:0006260|GO:0006281|GO:0006310__-
CopciAB_365194.T0	IPR002401__IPR036396__IPR001128__IPR017972	Cytochrome P450, E-class, group I__Cytochrome P450 superfamily__Cytochrome P450__Cytochrome P450, conserved site	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0005506|GO:0016705
CopciAB_365195.T0	IPR038770__IPR006153	Sodium/solute symporter superfamily__Cation/H+ exchanger	-__GO:0006812|GO:0015297|GO:0016020|GO:0055085|GO:1902600
CopciAB_365216.T0	IPR036180__IPR012990__IPR037364__IPR036175__IPR037550__IPR029006__IPR036465__IPR006895__IPR036174__IPR007123__IPR006896__IPR006900	Gelsolin-like domain superfamily__Sec23/Sec24 beta-sandwich__Protein transport protein Sec23__Sec23/Sec24 helical domain superfamily__Sec23, C-terminal__ADF-H/Gelsolin-like domain superfamily__von Willebrand factor A-like domain superfamily__Zinc finger, Sec23/Sec24-type__Zinc finger, Sec23/Sec24-type superfamily__Gelsolin-like domain__Sec23/Sec24, trunk domain__Sec23/Sec24, helical domain	-__-__-__GO:0006886|GO:0006888|GO:0030127__GO:0030127|GO:0090114__-__-__GO:0006886|GO:0006888|GO:0008270|GO:0030127__GO:0006886|GO:0006888|GO:0008270|GO:0030127__-__GO:0006886|GO:0006888|GO:0030127__GO:0006886|GO:0006888|GO:0030127
CopciAB_365220.T0	IPR000727__IPR015260__IPR045242__IPR010989	Target SNARE coiled-coil homology domain__Syntaxin 6, N-terminal__Syntaxin__SNARE	-__GO:0016020|GO:0048193__-__GO:0016020|GO:0016192
CopciAB_365259.T0	IPR040410	UPF0658 Golgi apparatus membrane protein	-
CopciAB_365291.T0	IPR027417__IPR012948__IPR007034__IPR003593__IPR037875__IPR030387__IPR039761	P-loop containing nucleoside triphosphate hydrolase__AARP2CN__Ribosome biogenesis protein BMS1/TSR1, C-terminal__AAA+ ATPase domain__Ribosome biogenesis protein Bms1, N-terminal__Bms1/Tsr1-type G domain__Ribosome biogenesis protein Bms1/Tsr1	-__GO:0005634|GO:0042254__-__-__GO:0005525__-__GO:0042254
CopciAB_365298.T0	IPR007905__IPR033118	Emopamil-binding protein__EXPERA domain	GO:0016020|GO:0016125|GO:0047750__-
CopciAB_365306.T0	IPR001138__IPR007219__IPR036864__IPR017896	Zn(2)Cys(6) fungal-type DNA-binding domain__Transcription factor domain, fungi__Zn(2)-C6 fungal-type DNA-binding domain superfamily__4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0000981|GO:0006355|GO:0008270__GO:0003677|GO:0006351|GO:0008270__GO:0000981|GO:0006355|GO:0008270__-
CopciAB_365330.T0	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	-
CopciAB_365333.T0	IPR011009__IPR000719	Protein kinase-like domain superfamily__Protein kinase domain	-__GO:0004672|GO:0005524|GO:0006468
CopciAB_365344.T0	IPR001138__IPR036864__IPR007219	Zn(2)Cys(6) fungal-type DNA-binding domain__Zn(2)-C6 fungal-type DNA-binding domain superfamily__Transcription factor domain, fungi	GO:0000981|GO:0006355|GO:0008270__GO:0000981|GO:0006355|GO:0008270__GO:0003677|GO:0006351|GO:0008270
CopciAB_365365.T0	IPR018108__IPR023395__IPR002067__IPR044712	Mitochondrial substrate/solute carrier__Mitochondrial carrier domain superfamily__Mitochondrial carrier protein__NAD/FAD transporter SLC25A32-like	-__-__GO:0055085__GO:0006862|GO:0055085
CopciAB_365373.T0	IPR013087	Zinc finger C2H2-type	-
CopciAB_365378.T0	IPR006096__IPR028971__IPR036291__IPR046346__IPR016210	Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal__NAD-glutamate dehydrogenase__NAD(P)-binding domain superfamily__Aminoacid dehydrogenase-like, N-terminal domain superfamily__NAD-dependent glutamate dehydrogenase, eukaryotes	GO:0006520|GO:0016491__GO:0004352|GO:0019551__-__-__GO:0004352|GO:0019551
CopciAB_365412.T0	IPR031459	Cytochrome c oxidase assembly factor 2	GO:0033617
CopciAB_365455.T0	IPR036259__IPR020846__IPR011701	MFS transporter superfamily__Major facilitator superfamily domain__Major facilitator superfamily	-__GO:0022857__GO:0022857|GO:0055085
CopciAB_365456.T0	IPR024655__IPR017853	Asl1-like, glycosyl hydrolase catalytic domain__Glycoside hydrolase superfamily	-__-
CopciAB_365457.T0	IPR021261	Glycerophosphocholine acyltransferase 1	-
CopciAB_365495.T0	IPR043129__IPR022673__IPR022672__IPR001312	ATPase, nucleotide binding domain__Hexokinase, C-terminal__Hexokinase, N-terminal__Hexokinase	-__GO:0005524|GO:0005975|GO:0016773__GO:0005524|GO:0005975|GO:0016773__GO:0001678|GO:0004396|GO:0005524|GO:0005536|GO:0005975
CopciAB_365521.T0	IPR009297	Protein of unknown function DUF952	-
CopciAB_365535.T0	IPR019145	Mediator complex, subunit Med10	GO:0003712|GO:0006357|GO:0016592
CopciAB_365536.T0	IPR046347__IPR021755__IPR004827	Basic-leucine zipper domain superfamily__Transcription factor Aft1, HRA domain__Basic-leucine zipper domain	GO:0003700|GO:0006355__-__GO:0003700|GO:0006355
CopciAB_365550.T0	IPR023210__IPR036812__IPR020471	NADP-dependent oxidoreductase domain__NADP-dependent oxidoreductase domain superfamily__Aldo-keto reductase	-__-__GO:0016491
CopciAB_365555.T0	IPR018490__IPR018488__IPR000595__IPR003117__IPR012198__IPR014710	Cyclic nucleotide-binding domain superfamily__Cyclic nucleotide-binding, conserved site__Cyclic nucleotide-binding domain__cAMP-dependent protein kinase regulatory subunit, dimerization-anchoring domain__cAMP-dependent protein kinase regulatory subunit__RmlC-like jelly roll fold	-__-__-__-__GO:0001932|GO:0005952|GO:0008603__-
CopciAB_365564.T0	IPR000571	Zinc finger, CCCH-type	GO:0046872
CopciAB_365585.T0	IPR032302__IPR021418__IPR021726__IPR040007	THO complex subunit 2, N-terminal domain__THO complex, subunitTHOC2, C-terminal__THO complex, subunitTHOC2, N-terminal__THO complex subunit 2	-__-__-__GO:0000347|GO:0006397|GO:0006406
CopciAB_365596.T0	IPR013087__IPR036236	Zinc finger C2H2-type__Zinc finger C2H2 superfamily	-__-
CopciAB_365597.T0	IPR017375__IPR006845__IPR013083__IPR001841	Peroxisome assembly protein 12__Pex, N-terminal__Zinc finger, RING/FYVE/PHD-type__Zinc finger, RING-type	GO:0005515|GO:0005778|GO:0008270|GO:0016558__-__-__-
CopciAB_365598.T0	IPR011009__IPR024604	Protein kinase-like domain superfamily__Serine/threonine-protein kinase haspin, C-terminal	-__-
CopciAB_365609.T0	IPR002639__IPR038277	Urease accessory protein UreF__UreF domain superfamily	GO:0006807|GO:0016151__-
CopciAB_365627.T0	IPR011762__IPR029045__IPR045190__IPR034733__IPR011763	Acetyl-coenzyme A carboxyltransferase, N-terminal__ClpP/crotonase-like domain superfamily__Methylcrotonoyl-CoA carboxylase beta chain MCCB/AccD1-like__Acetyl-CoA carboxylase__Acetyl-coenzyme A carboxyltransferase, C-terminal	-__-__-__-__GO:0016874
CopciAB_365652.T0	IPR009346	GRIM-19	-
CopciAB_365658.T0	IPR018004__IPR036770__IPR002110__IPR036887__IPR003163	KilA/APSES-type HTH, DNA-binding__Ankyrin repeat-containing domain superfamily__Ankyrin repeat__HTH APSES-type DNA-binding domain superfamily__Transcription regulator HTH, APSES-type DNA-binding domain	-__-__GO:0005515__GO:0003677__-
CopciAB_365674.T0	IPR038491__IPR037525__IPR021740	Velvet domain superfamily__Velvet domain__Velvet factor	-__-__-
CopciAB_365678.T0	IPR032710	NTF2-like domain superfamily	-
CopciAB_365684.T0	IPR004837__IPR004713	Sodium/calcium exchanger membrane region__Calcium/proton exchanger	GO:0016020|GO:0055085__GO:0006812|GO:0008324|GO:0016020
CopciAB_365699.T0	IPR013780__IPR013783__IPR004193__IPR006048__IPR014756__IPR006047__IPR017853__IPR037439	Glycosyl hydrolase, all-beta__Immunoglobulin-like fold__Glycoside hydrolase, family 13, N-terminal__Alpha-amylase/branching enzyme, C-terminal all beta__Immunoglobulin E-set__Glycosyl hydrolase, family 13, catalytic domain__Glycoside hydrolase superfamily__1,4-alpha-glucan-branching enzyme	-__-__GO:0004553|GO:0005975__GO:0003824|GO:0005975|GO:0043169__-__GO:0005975__-__GO:0003844|GO:0005978
CopciAB_365724.T0	IPR027417__IPR005654	P-loop containing nucleoside triphosphate hydrolase__ATPase, AFG1-like	-__GO:0005524|GO:0016887
CopciAB_365725.T0	IPR003439__IPR017871__IPR039421__IPR027417__IPR003593	ABC transporter-like, ATP-binding domain__ABC transporter-like, conserved site__Type 1 protein exporter__P-loop containing nucleoside triphosphate hydrolase__AAA+ ATPase domain	GO:0005524__GO:0005524|GO:0016887__-__-__-
CopciAB_365729.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_365734.T0	IPR002259__IPR036259	Equilibrative nucleoside transporter__MFS transporter superfamily	GO:0005337|GO:0016020|GO:1901642__-
CopciAB_365783.T0	IPR021139__IPR024768	NYN domain__Meiosis regulator and mRNA stability factor 1	GO:0004540__GO:0005777|GO:0010468
CopciAB_365785.T0	IPR024766__IPR013083__IPR001841	Zinc finger, RING-H2-type__Zinc finger, RING/FYVE/PHD-type__Zinc finger, RING-type	GO:0008270__-__-
CopciAB_365798.T0	IPR006939	SNF5/SMARCB1/INI1	GO:0000228|GO:0006338
CopciAB_365808.T0	IPR029058__IPR003140	Alpha/Beta hydrolase fold__Phospholipase/carboxylesterase/thioesterase	-__GO:0016787
CopciAB_365810.T0	IPR003107__IPR011990__IPR045075	HAT (Half-A-TPR) repeat__Tetratricopeptide-like helical domain superfamily__Pre-mRNA-splicing factor Syf1-like	GO:0006396__GO:0005515__GO:0000398
CopciAB_365839.T0	IPR015424__IPR045088__IPR015422__IPR015421__IPR004839	Pyridoxal phosphate-dependent transferase__Aminotransferase ALAT1/2-like__Pyridoxal phosphate-dependent transferase, small domain__Pyridoxal phosphate-dependent transferase, major domain__Aminotransferase, class I/classII	-__GO:0008483__GO:0003824__GO:0003824__GO:0009058|GO:0030170
CopciAB_365852.T0	IPR029030__IPR011600	Caspase-like domain superfamily__Peptidase C14, caspase domain	-__GO:0004197|GO:0006508
CopciAB_365883.T0	IPR003819__IPR042098	TauD/TfdA-like domain__Taurine dioxygenase TauD-like superfamily	GO:0016491__-
CopciAB_365884.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_365894.T0	IPR019416	Nuclear cap-binding protein subunit 3	GO:0000340|GO:0003729
CopciAB_365907.T0	IPR020617__IPR002155__IPR016039__IPR020615__IPR020616__IPR020613	Thiolase, C-terminal__Thiolase__Thiolase-like__Thiolase, acyl-enzyme intermediate active site__Thiolase, N-terminal__Thiolase, conserved site	GO:0016747__GO:0016747__GO:0016746__GO:0016747__GO:0016747__GO:0016747
CopciAB_365914.T0	IPR011074__IPR036865__IPR036273__IPR001251	CRAL/TRIO, N-terminal domain__CRAL-TRIO lipid binding domain superfamily__CRAL/TRIO, N-terminal domain superfamily__CRAL-TRIO lipid binding domain	-__-__-__-
CopciAB_365932.T0	IPR013632__IPR027417	DNA recombination and repair protein Rad51-like, C-terminal__P-loop containing nucleoside triphosphate hydrolase	-__-
CopciAB_365941.T0	IPR019194	Transcription elongation factor Eaf, N-terminal	-
CopciAB_365989.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_366014.T0	IPR009210__IPR019510	Activating signal cointegrator 1 complex subunit 1__A-kinase anchor protein 7-like, phosphoesterase domain	GO:0006307__-
CopciAB_366047.T0	IPR000999__IPR005034__IPR036389__IPR027417__IPR011545__IPR001650__IPR038248__IPR014001	Ribonuclease III domain__Dicer dimerisation domain__Ribonuclease III, endonuclease domain superfamily__P-loop containing nucleoside triphosphate hydrolase__DEAD/DEAH box helicase domain__Helicase, C-terminal__Dicer dimerisation domain superfamily__Helicase superfamily 1/2, ATP-binding domain	GO:0004525|GO:0006396__GO:0016891__GO:0004525|GO:0006396__-__GO:0003676|GO:0005524__-__-__-
CopciAB_366087.T0	IPR003578__IPR001806__IPR027417	Small GTPase Rho__Small GTPase__P-loop containing nucleoside triphosphate hydrolase	GO:0005525|GO:0007264__GO:0003924|GO:0005525__-
